-126,-128,-130,-131,-133,-134,-135,-137,-138,-139,-139,-140,-141,-142,-142,-143,-144,-144,-145,-145,-145,-146,-146,-146,-146,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-146,-146,-146,-146,-146,-146,-145,-145,-145,-145,-145,-145,-144,-144,-144,-144,-144,-144,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-144,-144,-144,-144,-144,-145,-145,-145,-145,-145,-146,-146,-146,-146,-147,-147,-147,-147,-148,-148,-148,-148,-149,-149,-149,-150,-150,-150,-150,-151,-151,-151,-151,-152,-152,-152,-152,-153,-153,-153,-154,-154,-154,-154,-155,-155,-155,-156,-156,-156,-157,-157,-157,-158,-158,-158,-159,-159,-159,-160,-160,-161,-161,-161,-162,-162,-163,-163,-164,-164,-165,-165,-166,-166,-167,-167,-168,-168,-169,-169,-170,-171,-171,-172,-172,-173,-174,-174,-175,-175,-176,-177,-177,-178,-179,-179,-180,-180,-181,-182,-182,-183,-183,-184,-185,-185,-186,-186,-187,-187,-188,-188,-189,-189,-189,-190,-190,-191,-191,-191,-191,-192,-192,-192,-192,-192,-192,-192,-192,-192,-192,-192,-191,-191,-191,-190,-190,-189,-188,-188,-187,-186,-185,-184,-182,-181,-179,-178,-176
111,109,108,107,107,106,105,105,104,104,104,103,103,103,103,103,103,103,103,104,104,104,104,105,105,105,106,106,107,107,108,108,109,109,110,110,111,112,112,113,113,114,115,115,116,116,117,118,118,119,120,120,121,121,122,123,123,124,124,125,125,126,127,127,128,128,129,129,129,130,130,131,131,132,132,132,133,133,133,134,134,134,134,135,135,135,135,135,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,135,135,135,135,135,135,134,134,134,134,133,133,133,132,132,132,132,131,131,130,130,130,129,129,128,128,127,127,127,126,125,125,124,124,123,123,122,122,121,120,120,119,118,118,117,116,115,115,114,113,112,111,111,110,109,108,107,106,105,105,104,103,102,101,100,99,98,97,96,95,94,93,92,91,90,89,88,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,61,60,59,58,58,57,56,56,55,55,54,54,53,53,53,53,53,53,53,53,53,53,54,54,55,56,57,58,59
347,347,346,346,346,346,346,346,346,346,347,347,348,348,349,349,350,351,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,373,374,375,376,377,378,379,380,381,382,383,385,386,387,388,389,390,391,392,393,394,395,396,396,397,398,399,400,401,402,402,403,404,405,406,406,407,408,408,409,410,410,411,411,412,412,413,413,414,414,415,415,415,416,416,416,417,417,417,417,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,417,417,417,417,416,416,416,415,415,414,414,413,413,412,412,411,411,410,409,409,408,407,407,406,405,404,404,403,402,401,400,399,398,397,396,395,394,393,392,391,390,389,388,387,385,384,383,382,381,379,378,377,376,374,373,372,370,369,367,366,365,363,362,360,359,357,356,354,353,352,350,348,347,345,344,342,341,339,338,336,335,333,332,330,329,327,326,324,323,321,320,318,317,315,314,313,311,310,309,307,306,305,304,302,301,300,299,298,297,297,296,295,294,294,293,293,293,292,292,292,293,293,293,294
584,584,585,585,585,586,587,587,588,589,590,591,592,593,594,596,597,598,599,601,602,604,605,607,608,610,611,613,615,616,618,619,621,623,624,626,627,629,631,632,634,636,637,639,640,642,643,645,646,648,650,651,652,654,655,657,658,660,661,662,664,665,666,668,669,670,672,673,674,675,676,677,679,680,681,682,683,684,685,686,687,688,688,689,690,691,692,692,693,694,694,695,696,696,697,697,698,698,699,699,700,700,700,700,701,701,701,701,701,701,701,701,701,701,701,701,701,701,700,700,700,699,699,699,698,698,697,696,696,695,694,694,693,692,691,691,690,689,688,687,686,685,684,683,682,680,679,678,677,676,674,673,672,670,669,668,666,665,663,662,660,659,657,656,654,652,651,649,648,646,644,642,641,639,637,635,634,632,630,628,626,624,622,620,619,617,615,613,611,609,607,605,603,601,599,597,595,593,591,589,587,584,582,580,578,576,574,572,570,568,566,564,563,561,559,557,555,553,551,550,548,546,545,543,542,540,539,538,536,535,534,533,532,531,531,530,529,529,529,529
821,822,823,824,825,826,827,829,830,831,833,835,836,838,840,842,844,846,848,850,852,854,856,858,860,862,864,866,868,871,873,875,877,879,881,884,886,888,890,892,894,896,898,900,902,905,907,909,911,913,914,916,918,920,922,924,926,928,929,931,933,935,936,938,940,941,943,945,946,948,949,951,952,954,955,956,958,959,960,962,963,964,965,967,968,969,970,971,972,973,974,975,976,976,977,978,979,979,980,981,981,982,982,983,983,983,984,984,984,984,985,985,985,985,985,984,984,984,984,984,983,983,982,982,981,981,980,979,979,978,977,976,975,974,973,972,971,970,969,968,967,965,964,963,961,960,958,957,955,954,952,951,949,948,946,944,942,941,939,937,935,933,931,929,927,926,924,922,919,917,915,913,911,909,907,905,902,900,898,896,893,891,889,886,884,882,879,877,874,872,870,867,865,862,860,857,855,852,850,847,844,842,839,837,834,832,829,827,824,821,819,816,814,811,809,807,804,802,799,797,795,792,790,788,786,784,782,780,778,776,775,773,771,770,769,767,766,765,764,763
1058,1059,1061,1062,1064,1066,1068,1070,1072,1074,1076,1078,1081,1083,1086,1088,1090,1093,1096,1098,1101,1103,1106,1109,1111,1114,1117,1120,1122,1125,1128,1130,1133,1136,1139,1141,1144,1147,1149,1152,1154,1157,1160,1162,1165,1167,1170,1172,1175,1177,1179,1182,1184,1187,1189,1191,1193,1196,1198,1200,1202,1204,1206,1208,1210,1213,1215,1216,1218,1220,1222,1224,1226,1228,1229,1231,1233,1235,1236,1238,1239,1241,1242,1244,1245,1247,1248,1249,1251,1252,1253,1254,1255,1257,1258,1259,1260,1260,1261,1262,1263,1264,1264,1265,1265,1266,1266,1267,1267,1267,1268,1268,1268,1268,1268,1268,1268,1268,1267,1267,1267,1266,1266,1265,1265,1264,1263,1262,1262,1261,1260,1259,1258,1257,1255,1254,1253,1252,1250,1249,1247,1246,1244,1243,1241,1239,1238,1236,1234,1232,1230,1229,1227,1225,1223,1221,1219,1216,1214,1212,1210,1208,1205,1203,1201,1199,1196,1194,1191,1189,1187,1184,1182,1179,1176,1174,1171,1169,1166,1163,1161,1158,1155,1152,1150,1147,1144,1141,1138,1135,1132,1129,1127,1124,1121,1118,1115,1112,1109,1105,1102,1099,1096,1093,1090,1087,1084,1081,1078,1075,1072,1068,1065,1062,1059,1056,1053,1050,1047,1044,1041,1039,1036,1033,1030,1028,1025,1022,1020,1018,1015,1013,1011,1009,1007,1005,1003,1001,1000,998
1295,1297,1299,1301,1304,1306,1309,1311,1314,1317,1319,1322,1325,1328,1331,1334,1337,1340,1344,1347,1350,1353,1356,1360,1363,1366,1370,1373,1376,1379,1383,1386,1389,1392,1396,1399,1402,1405,1408,1412,1415,1418,1421,1424,1427,1430,1433,1436,1439,1442,1444,1447,1450,1453,1456,1458,1461,1464,1466,1469,1471,1474,1476,1479,1481,1484,1486,1488,1491,1493,1495,1497,1500,1502,1504,1506,1508,1510,1512,1514,1516,1518,1519,1521,1523,1525,1526,1528,1529,1531,1532,1534,1535,1537,1538,1539,1540,1541,1543,1544,1545,1545,1546,1547,1548,1548,1549,1550,1550,1550,1551,1551,1551,1551,1551,1551,1551,1551,1551,1550,1550,1550,1549,1548,1548,1547,1546,1545,1544,1543,1542,1541,1540,1539,1537,1536,1534,1533,1531,1530,1528,1526,1524,1523,1521,1519,1517,1515,1513,1511,1508,1506,1504,1502,1499,1497,1495,1492,1490,1487,1485,1482,1480,1477,1474,1472,1469,1466,1463,1460,1458,1455,1452,1449,1446,1443,1440,1437,1434,1431,1428,1425,1421,1418,1415,1412,1409,1405,1402,1399,1395,1392,1388,1385,1382,1378,1375,1371,1367,1364,1360,1357,1353,1350,1346,1342,1339,1335,1331,1328,1324,1320,1317,1313,1309,1306,1302,1299,1295,1292,1288,1285,1281,1278,1274,1271,1268,1265,1262,1259,1256,1253,1250,1247,1245,1242,1240,1238,1235,1233
1531,1534,1537,1540,1543,1546,1549,1552,1556,1559,1562,1566,1569,1573,1577,1580,1584,1588,1591,1595,1599,1603,1607,1611,1614,1618,1622,1626,1630,1634,1638,1641,1645,1649,1653,1657,1660,1664,1668,1671,1675,1678,1682,1686,1689,1692,1696,1699,1703,1706,1709,1713,1716,1719,1722,1725,1728,1731,1734,1737,1740,1743,1746,1749,1752,1755,1757,1760,1763,1765,1768,1771,1773,1776,1778,1780,1783,1785,1787,1790,1792,1794,1796,1798,1800,1802,1804,1806,1808,1810,1812,1813,1815,1817,1818,1820,1821,1822,1824,1825,1826,1827,1828,1829,1830,1831,1832,1832,1833,1833,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1833,1833,1832,1832,1831,1830,1829,1828,1827,1826,1825,1823,1822,1821,1819,1817,1816,1814,1812,1810,1809,1807,1805,1802,1800,1798,1796,1793,1791,1789,1786,1784,1781,1779,1776,1773,1771,1768,1765,1762,1759,1756,1754,1751,1748,1745,1741,1738,1735,1732,1729,1726,1722,1719,1716,1712,1709,1705,1702,1698,1695,1691,1688,1684,1680,1677,1673,1669,1666,1662,1658,1654,1650,1646,1642,1638,1634,1630,1626,1622,1618,1614,1610,1606,1602,1598,1593,1589,1585,1581,1576,1572,1568,1564,1560,1555,1551,1547,1543,1539,1535,1531,1527,1523,1519,1515,1511,1507,1504,1500,1496,1493,1489,1486,1483,1480,1477,1474,1471,1468
1768,1772,1775,1779,1782,1786,1790,1794,1797,1801,1805,1809,1814,1818,1822,1826,1831,1835,1839,1844,1848,1853,1857,1862,1866,1870,1875,1879,1884,1888,1893,1897,1901,1906,1910,1914,1918,1922,1927,1931,1935,1939,1943,1947,1951,1955,1959,1963,1967,1970,1974,1978,1981,1985,1989,1992,1996,1999,2003,2006,2009,2013,2016,2019,2022,2026,2029,2032,2035,2038,2041,2044,2047,2049,2052,2055,2058,2060,2063,2066,2068,2071,2073,2075,2078,2080,2082,2084,2087,2089,2091,2093,2095,2096,2098,2100,2101,2103,2105,2106,2107,2109,2110,2111,2112,2113,2114,2115,2115,2116,2116,2117,2117,2117,2117,2118,2117,2117,2117,2117,2116,2116,2115,2114,2114,2113,2112,2111,2110,2108,2107,2106,2104,2102,2101,2099,2097,2095,2093,2091,2089,2087,2084,2082,2080,2077,2075,2072,2070,2067,2064,2061,2059,2056,2053,2050,2047,2043,2040,2037,2034,2031,2027,2024,2021,2017,2014,2011,2007,2003,2000,1996,1992,1989,1985,1981,1978,1974,1970,1966,1962,1958,1954,1950,1946,1942,1938,1933,1929,1925,1921,1916,1912,1908,1903,1899,1894,1890,1885,1881,1876,1871,1867,1862,1857,1853,1848,1843,1838,1834,1829,1824,1819,1814,1810,1805,1800,1795,1791,1786,1781,1777,1772,1767,1763,1758,1754,1750,1745,1741,1737,1733,1729,1725,1721,1717,1713,1710,1706,1703
2005,2009,2013,2017,2021,2026,2030,2035,2039,2044,2048,2053,2058,2063,2067,2072,2077,2082,2087,2092,2097,2102,2107,2112,2117,2122,2127,2132,2137,2142,2147,2152,2157,2162,2167,2172,2176,2181,2186,2190,2195,2200,2204,2209,2213,2217,2222,2226,2230,2235,2239,2243,2247,2251,2255,2259,2263,2267,2271,2275,2278,2282,2286,2289,2293,2296,2300,2303,2307,2310,2314,2317,2320,2323,2326,2329,2332,2335,2338,2341,2344,2347,2350,2352,2355,2358,2360,2363,2365,2367,2370,2372,2374,2376,2378,2380,2382,2384,2385,2387,2389,2390,2391,2393,2394,2395,2396,2397,2398,2398,2399,2400,2400,2400,2400,2400,2400,2400,2400,2400,2399,2399,2398,2397,2396,2396,2394,2393,2392,2391,2389,2388,2386,2384,2382,2380,2378,2376,2374,2372,2369,2367,2364,2362,2359,2356,2353,2351,2348,2345,2342,2339,2336,2332,2329,2326,2322,2319,2316,2312,2308,2305,2301,2298,2294,2290,2286,2283,2279,2275,2271,2267,2263,2259,2254,2250,2246,2242,2238,2233,2229,2225,2220,2216,2211,2206,2202,2197,2193,2188,2183,2178,2174,2169,2164,2159,2154,2149,2144,2139,2134,2129,2123,2118,2113,2108,2102,2097,2092,2087,2081,2076,2070,2065,2060,2054,2049,2044,2038,2033,2028,2022,2017,2012,2007,2002,1997,1992,1987,1982,1977,1973,1968,1963,1959,1954,1950,1946,1941,1937
